[2026-09-18 10:05:57] ===== START R5_late_decay =====
[2026-09-18 10:05:57] python -u train.py --config configs/cifar10_fid15_r5_late_decay.yaml
/root/autodl-tmp/diffusion-models-starter-r4/projects/project1_ddpm/train.py:276: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled=use_amp and amp_dtype == torch.float16)
/root/autodl-tmp/diffusion-models-starter-r4/projects/project1_ddpm/train.py:343: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=use_amp, dtype=amp_dtype):
[epoch 083 step 032600] loss=0.05859 lr=2.000e-04
[epoch 083 step 032700] loss=0.05545 lr=2.000e-04
[epoch 084 step 032800] loss=0.05918 lr=2.000e-04
[epoch 084 step 032900] loss=0.06110 lr=2.000e-04
[epoch 084 step 033000] loss=0.04682 lr=2.000e-04
[epoch 084 step 033100] loss=0.04611 lr=2.000e-04
[epoch 085 step 033200] loss=0.06052 lr=2.000e-04
[epoch 085 step 033300] loss=0.06305 lr=2.000e-04
[epoch 085 step 033400] loss=0.06707 lr=2.000e-04
[epoch 085 step 033500] loss=0.04412 lr=2.000e-04
[epoch 086 step 033600] loss=0.07085 lr=2.000e-04
[epoch 086 step 033700] loss=0.05472 lr=2.000e-04
[epoch 086 step 033800] loss=0.04692 lr=2.000e-04
[epoch 086 step 033900] loss=0.04949 lr=2.000e-04
[epoch 087 step 034000] loss=0.05912 lr=2.000e-04
[epoch 087 step 034100] loss=0.04822 lr=2.000e-04
[epoch 087 step 034200] loss=0.05293 lr=2.000e-04
[epoch 087 step 034300] loss=0.05329 lr=2.000e-04
[epoch 088 step 034400] loss=0.05385 lr=2.000e-04
[epoch 088 attempt 034471] optimizer step skipped; scaler=2097152.0
[epoch 088 step 034500] loss=0.06417 lr=2.000e-04
[epoch 088 step 034600] loss=0.06707 lr=2.000e-04
[epoch 089 step 034700] loss=0.05457 lr=2.000e-04
[epoch 089 step 034800] loss=0.05132 lr=2.000e-04
[epoch 089 step 034900] loss=0.06700 lr=2.000e-04
[epoch 089 step 035000] loss=0.04930 lr=2.000e-04
[epoch 090 step 035100] loss=0.04367 lr=2.000e-04
[epoch 090 step 035200] loss=0.05495 lr=2.000e-04
